ID,Filename,Title (Guess),Year (Guess),Related Work (Guess),Related Node (Guess),Type (Guess),Category,Owner,Artist,Featured,Duplicate,Notes,Width,Height,Orientation
1,brand-virtura-logo-black.png,Virtura Logo Black,,,,unknown,brand,personal,Ewan,No,No,,5534,1000,landscape
2,brand-virtura-logo-white.png,Virtura Logo White,,,,unknown,brand,personal,Ewan,No,No,,5534,1000,landscape
3,event-2023-10-lonely-audiovisual-shanghai-broadcast-01.jpg,2023 10 Lonely Audiovisual Shanghai Broadcast,2023,Shanghai Broadcast Arts Center,Shanghai Broadcast,unknown,event,personal,Ewan,No,No,,1366,1366,square
4,event-2023-10-lonely-audiovisual-shanghai-broadcast-02.jpg,2023 10 Lonely Audiovisual Shanghai Broadcast,2023,Shanghai Broadcast Arts Center,Shanghai Broadcast,unknown,event,personal,Ewan,No,No,,1080,1080,square
5,event-2023-westbound-art-fair-ewan-artwork.jpg,2023 Westbound Art Fair Ewan Artwork,2023,Westbound Art Fair,Westbound Art,unknown,event,personal,Ewan,No,No,,1440,1440,square
6,event-2025-babel-bottle-ewan-with-artwork.jpg,2025 Babel Bottle Ewan With Artwork,2025,Babel Bottle,Babel Bottle,unknown,event,personal,Ewan,No,No,,1920,3413,portrait
7,event-2025-babel-bottle-hangzhou-art-museum.jpg,2025 Babel Bottle Hangzhou Art Museum,2025,Babel Bottle,Babel Bottle,unknown,event,personal,Ewan,No,No,,1080,1350,square
8,event-2025-babel-bottle-new-media-artist-simulator-exhibition.jpg,2025 Babel Bottle New Media Artist Simulator Exhibition,2025,New Media Artist Simulator,New Media Artist,unknown,event,team,Ewan,No,Yes,,1080,1350,square
9,event-2025-can-festival-zhoushan-00.jpg,2025 Can Festival Zhoushan,2025,CAN Festival,Can Festival,unknown,event,personal,Ewan,No,No,,1080,720,landscape
10,event-2025-can-festival-zhoushan-01.jpeg,2025 Can Festival Zhoushan,2025,CAN Festival,Can Festival,unknown,event,personal,Ewan,No,No,,1536,1024,landscape
11,event-2025-can-festival-zhoushan-02.jpeg,2025 Can Festival Zhoushan,2025,CAN Festival,Can Festival,unknown,event,personal,Ewan,No,No,,600,400,landscape
12,event-2025-can-festival-zhoushan-03.jpeg,2025 Can Festival Zhoushan,2025,CAN Festival,Can Festival,unknown,event,personal,Ewan,No,No,,600,400,landscape
13,event-2025-can-festival-zhoushan-04.jpeg,2025 Can Festival Zhoushan,2025,CAN Festival,Can Festival,unknown,event,personal,Ewan,No,No,,600,400,landscape
14,event-2025-hangzhou-art-tech-biennale-group-photo.jpg,2025 Hangzhou Art Tech Biennale Group Photo,2025,Hangzhou Art Tech Biennale,Hangzhou Art Tech,public node,event,team,Ewan,No,No,合影,2568,1926,landscape
15,event-2025-hangzhou-art-tech-biennale-promo.jpg,2025 Hangzhou Art Tech Biennale Promo,2025,Hangzhou Art Tech Biennale,Hangzhou Art Tech,hero,event,team,Ewan,Yes,No,,1080,1440,portrait
16,event-2025-hangzhou-art-tech-biennale-scene.jpg,2025 Hangzhou Art Tech Biennale Scene,2025,Hangzhou Art Tech Biennale,Hangzhou Art Tech,unknown,event,team,Ewan,No,No,,1176,1042,square
17,event-loading-access-2-exhibition-poster-main.jpg,Loading Access 2 Exhibition Poster Main,2024,Loading Access 2,Loading Access,hero,event,team,Ewan,Yes,No,,1080,1341,square
